Pre-fetching 3 images with 4 workers…
Error downloading image: 404 Client Error: Not Found for url: https://observation.org/photos/47599946.jpg
Error downloading image: 404 Client Error: Not Found for url: https://inaturalist-open-data.s3.amazonaws.com/photos/426449424/original.jpeg
Error downloading image: 404 Client Error: Not Found for url: https://inaturalist-open-data.s3.amazonaws.com/photos/207457311/original.jpg
Error downloading image: 404 Client Error: Not Found for url: https://inaturalist-open-data.s3.amazonaws.com/photos/207457311/original.jpg
Error downloading image: 404 Client Error: Not Found for url: https://observation.org/photos/47599946.jpg
Error downloading image: 404 Client Error: Not Found for url: https://inaturalist-open-data.s3.amazonaws.com/photos/426449424/original.jpeg
Collected 1000 test images, failed 3

Level: 'phylum' — 5 unique labels
Epoch 0 | loss: 1.5643
Epoch 1 | loss: 1.5366
Epoch 2 | loss: 1.5196
Epoch 3 | loss: 1.5134
Epoch 4 | loss: 1.5133
Epoch 5 | loss: 1.5124
Epoch 6 | loss: 1.5116
Epoch 7 | loss: 1.5113
Epoch 8 | loss: 1.5107
Epoch 9 | loss: 1.5101
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Tracheophyta'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Mollusca'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Chordata', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'
CLIP: 'Arthropoda', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Basidiomycota', Fused: 'Basidiomycota', Actual: 'Basidiomycota'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Chordata', Fused: 'Chordata', Actual: 'Chordata'
CLIP: 'Mollusca', Fused: 'Mollusca', Actual: 'Mollusca'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Tracheophyta', Fused: 'Tracheophyta', Actual: 'Tracheophyta'
CLIP: 'Arthropoda', Fused: 'Arthropoda', Actual: 'Arthropoda'

CLIP-only accuracy:   0.992
Fused accuracy:       0.994
Avg fused confidence: 0.9686
